"project_name","scope","credits_issued"
"Whirlpool HFO Ramos 1000","Chemical Processes",NA
"Whirlpool HFO Supsa 1001","Chemical Processes",NA
"Advanced Refrigeration - ARS2022003","Chemical Processes",NA
"A-Gas 3-2023B","Chemical Processes","79565"
"Advanced Refrigeration - ARS2022004","Chemical Processes","26766"
"Green Valley Abandoned Mine Methane Recovery Project","Industrial/Commercial",NA
"Marshall County Flare VI","Industrial/Commercial",NA
"Zefiro Methane OOG A - Drake","Industrial/Commercial",NA
"Tradewater ODS 54","Chemical Processes","92445"
"Fielding Environmental HFC Reclamation Offset Project - 2022","Chemical Processes","121144"
"Air Bag Gas Substitution","Chemical Processes","7984006"
"Hudson Tech 2024-1","Chemical Processes","83176"
"A-Gas V15","Chemical Processes",NA
"Tradewater ODS 53B","Chemical Processes","78611"
"Heartland Methane Abatement and Land Restoration Project 3","Industrial/Commercial",NA
"Inland Empire Anaerobic Ag Digester","Agriculture","44202"
"Advanced Refrigeration - ARS2022005","Chemical Processes",NA
"Advanced Refrigeration - ARS2023004","Chemical Processes",NA
"Advanced Refrigeration - ARS2024001","Chemical Processes",NA
"A-Gas South Korea 4","Chemical Processes",NA
"Tradewater ODS 55","Chemical Processes",NA
"Tradewater US - ODS - #5","Chemical Processes",NA
"A-Gas 1-2024","Chemical Processes",NA
"Tradewater OOG 3","Industrial/Commercial",NA
"A-Gas ODS-VER3","Chemical Processes",NA
"Wesco HMB, Inc. HFC Reclamation Project  New Jersey 2024","Chemical Processes",NA
"Summit HFC Reclaim 2022","Chemical Processes",NA
"American Refrigerants HFC Reclamation Project - 2023","Chemical Processes",NA
"CMMC2","Industrial/Commercial",NA
"Brickyard LFG to Energy","Waste Management","138492"
"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants-2024001","Chemical Processes",NA
"Weber County Landfill","Waste Management",NA
"A-Gas V18","Chemical Processes",NA
"Tradewater ODS 56","Chemical Processes",NA
"Refrigerant Management Canada Ozone Depleting Substance Destruction Project - 2022","Chemical Processes",NA
"Refrigerant Management Canada Ozone Depleting Substance Destruction Project - 2023","Chemical Processes",NA
"Camargo Fuel Substitution","Industrial/Commercial","1138"
"Heartland Methane Abatement and Land Restoration Project 4","Industrial/Commercial",NA
"Hudson Tech 2024-2","Chemical Processes",NA
"Sparq Renewables Okmulgee Orphaned Well Restoration","Industrial/Commercial",NA
"Chesapeake Mizer Pneumatic Retrofit","Industrial/Commercial","541804"
"Chicago LFG to Energy","Waste Management","62262"
"Devon Mizer Pneumatic Retrofit","Industrial/Commercial","5724"
"Dolton LFG to Energy","Waste Management","159336"
"Greater New Bedford LFG","Waste Management","713162"
"Merit Energy Geo-Seq","Carbon Capture","7308664"
"Monell Geo-Seq","Carbon Capture","1748409"
"North Country LFG","Waste Management","1592397"
"Petrosource Geo-Seq","Carbon Capture","2181419"
"Pike's Peak Geo-Seq","Carbon Capture","2866515"
"Romeoville LFG to Energy","Waste Management","52496"
"Salt Creek Geo-Seq","Carbon Capture","7675073"
"Schneider Anti-Idling","Transportation","42916"
"Seneca Meadows LFG","Waste Management","2470626"
"Steuben County DPW LFG","Waste Management","129180"
"Streator LFG to Energy","Waste Management","47150"
"Truck Stop Electrification, Alabama","Transportation","8356"
"Truck Stop Electrification, Arizona","Transportation","11104"
"Truck Stop Electrification, Arkansas","Transportation","28069"
"Truck Stop Electrification, California","Transportation","21943"
"Truck Stop Electrification, Colorado","Transportation","3671"
"Truck Stop Electrification, Florida","Transportation","7348"
"Truck Stop Electrification, Georgia","Transportation","22220"
"Truck Stop Electrification, Illinois","Transportation","20531"
"Truck Stop Electrification, Indiana","Transportation","12150"
"Truck Stop Electrification, Kentucky","Transportation","4075"
"Truck Stop Electrification, Louisianna","Transportation","11603"
"Truck Stop Electrification, Maryland","Transportation","12112"
"Truck Stop Electrification, Michigan","Transportation","4084"
"Truck Stop Electrification, Minnesota","Transportation","1785"
"Truck Stop Electrification, Mississippi","Transportation","4185"
"Truck Stop Electrification, Missouri","Transportation","5375"
"Truck Stop Electrification, Nebraska","Transportation","3124"
"Truck Stop Electrification, New Jersey","Transportation","7207"
"Truck Stop Electrification, New Mexico","Transportation","9483"
"Truck Stop Electrification, North Carolina","Transportation","8488"
"Truck Stop Electrification, North Dakota","Transportation","1351"
"Truck Stop Electrification, Ohio","Transportation","28663"
"Truck Stop Electrification, Oklahoma","Transportation","8165"
"Truck Stop Electrification, Oregon","Transportation","5583"
"Truck Stop Electrification, Pennsylvania","Transportation","24818"
"Truck Stop Electrification, South Carolina","Transportation","5329"
"Truck Stop Electrification, Tennessee","Transportation","19418"
"Truck Stop Electrification, Texas","Transportation","85912"
"Truck Stop Electrification, Utah","Transportation","3499"
"Truck Stop Electrification, West Virginia","Transportation","2551"
"Tyson Wastewater Treatment","Waste Management","100000"
"Upper Rock LFG to Energy","Waste Management","184632"
"International Paper","Industrial/Commercial","439035"
"Des Plaines LFG to Energy","Waste Management","115875"
"DANC","Waste Management","476553"
"Malhas Menegotti Industria Textil Fuel Switch","Industrial/Commercial","253991"
"Nitrogen Oxide Abatement at the DuPont Sabine River Works Adipic Acid Facility","Chemical Processes","125000"
"ECC ODS Destruction 2012","Chemical Processes","306517"
"Nitrous Oxide Reduction in Corn","Agriculture","2"
"EOS ARB ODS 2013-2","Chemical Processes","55996"
"DPC Domestic ODS Destruction Project #12","Chemical Processes",NA
"ECC ODS Destruction 2013","Chemical Processes","255227"
"EOS ARB ODS 2013-4","Chemical Processes",NA
"Wabashco Clean Sweep I","Chemical Processes","50600"
"EOS ARB ODS 2013-6","Chemical Processes","51864"
"D.P.C. Domestic ODS Destruction Project #12","Chemical Processes","38517"
"EOS ACR 2013","Chemical Processes","249025"
"Truck Stop Electrification, BEF","Transportation","43549"
"Big Sky Dairy","Agriculture","194151"
"EOS ARB ODS 2013-7","Chemical Processes","84418"
"EOS ARB ODS 2014-1","Chemical Processes","122080"
"RR ACR 2013","Chemical Processes","56124"
"Wabashco Clean Sweep 2","Chemical Processes","88044"
"2014-P5","Chemical Processes",NA
"Improvements in Vehicle Efficiency for Marten Transport","Transportation","207509"
"Emission Reductions in California Rice Management Systems","Agriculture","202"
"2014-P4","Chemical Processes","71825"
"Improvements in Vehicle Efficiency for Crete Carrier Corp","Transportation","267128"
"RR ACR 2014","Chemical Processes","315794"
"EOS ACR 213","Chemical Processes","127664"
"EOS ACR 214","Chemical Processes","145580"
"Wabashco Clean Sweep 3","Chemical Processes","112378"
"Transformer Oil Reclamation Project","Industrial/Commercial","378561"
"Wabashco Clean Sweep 4","Chemical Processes","110003"
"Marshall County VAM Abatement Project","Industrial/Commercial","1660307"
"RR ACR 2014 756","Chemical Processes",NA
"RR ACR 2014 758","Chemical Processes",NA
"RR ACR 2014 768","Chemical Processes",NA
"Emission Reductions in Midsouth Rice Management Systems","Agriculture","395"
"The Dry Creek Dairy Biofactory Project","Agriculture","298204"
"Double A Dairy","Agriculture","294783"
"Alliance Dairy","Agriculture","84219"
"Synergy Biogas, LLC","Agriculture","48409"
"Green Meadow Farm","Agriculture","19252"
"Willet Dairy","Agriculture","114740"
"Edaleen Cow Power, LLC","Agriculture","42727"
"EOS ACR 240","Chemical Processes","129700"
"Gardeau Crest Dairy","Agriculture","91842"
"Cambria 33 Abandoned Mine Methane Capture and Use Project","Industrial/Commercial","221141"
"Elk Creek Coal Mine Methane Destruction & Utilization Project","Industrial/Commercial","266263"
"Wabashco Clean Sweep 5","Chemical Processes","57589"
"EOS ACR 252","Chemical Processes","140736"
"EOS ACR 253","Chemical Processes","135017"
"Wabashco Clean Sweep 6","Chemical Processes","39036"
"EOS ARB ODS 2013-1","Chemical Processes",NA
"Homestead Green Energy","Agriculture","76781"
"Replacement of SF6 as a Cover Gas at US Magnesium","Chemical Processes","152040"
"Truck Stop Electrification, Washington","Transportation","1657"
"Truck Stop Electrification, New York","Transportation","240"
"EOS ACR 271","Chemical Processes","124882"
"Wabashco Clean Sweep 7","Chemical Processes","116836"
"Rosendale Anaerobic Digester","Agriculture","94701"
"EOS ACR 285","Chemical Processes","45663"
"EOS HFC 310","Chemical Processes","8468"
"EOS ACR 311","Chemical Processes","107264"
"EOS ACR 312","Chemical Processes","140871"
"High Island Dairy","Agriculture","156388"
"Wabashco Clean Sweep 8","Chemical Processes","111977"
"EOS ACR 315","Chemical Processes","86839"
"EOS ACR 316","Chemical Processes","104897"
"Statz Bros. Home Farm Anaerobic Digester","Agriculture","20122"
"Statz B Farm Anaerobic Digester","Agriculture","35235"
"Baker Mine AMM","Industrial/Commercial","2236"
"Wabashco Clean Sweep 9","Chemical Processes","93298"
"Foam Blowing Agent Project 001","Chemical Processes","13399"
"Kettle Butte Digester","Agriculture","103049"
"Tradewater ODS 1","Chemical Processes","116741"
"EOS ACR 351","Chemical Processes","28562"
